Date,State,Infected,Recovered,Death
6/8/2020,Andhra Pradesh,186461,104354,1681
7/8/2020,Andhra Pradesh,196789,112870,1753
8/8/2020,Andhra Pradesh,206960,120464,1842
9/8/2020,Andhra Pradesh,217040,129615,1939
10/8/2020,Andhra Pradesh,227860,138712,2036
11/8/2020,Andhra Pradesh,235525,145636,2116
12/8/2020,Andhra Pradesh,244549,154749,2203
13-08-2020,Andhra Pradesh,254146,161425,2296
14-08-2020,Andhra Pradesh,264142,170984,2378
15-08-2020,Andhra Pradesh,273085,180703,2475
16-08-2020,Andhra Pradesh,281817,191117,2562
17-08-2020,Andhra Pradesh,289829,201234,2650
18-08-2020,Andhra Pradesh,296609,209100,2732
19-08-2020,Andhra Pradesh,306261,218311,2820
20-08-2020,Andhra Pradesh,316003,226372,2906
21-08-2020,Andhra Pradesh,325396,235218,3001
22-08-2020,Andhra Pradesh,334940,244045,3092
23-08-2020,Andhra Pradesh,345216,252638,3189
24-08-2020,Andhra Pradesh,353111,260087,3282
25-08-2020,Andhra Pradesh,361712,268828,3368
26-08-2020,Andhra Pradesh,371639,278247,3460
27-08-2020,Andhra Pradesh,382469,286720,3541
28-08-2020,Andhra Pradesh,393090,295248,3633
29-08-2020,Andhra Pradesh,403616,303711,3714
30-08-2020,Andhra Pradesh,414164,312687,3796
31-08-2020,Andhra Pradesh,424767,321754,3884
1/9/2020,Andhra Pradesh,434771,330526,3969
2/9/2020,Andhra Pradesh,445139,339876,4053
3/9/2020,Andhra Pradesh,455531,348330,4125
4/9/2020,Andhra Pradesh,465730,358009,4200
5/9/2020,Andhra Pradesh,476506,370163,4276
6/9/2020,Andhra Pradesh,487331,382104,4347
7/9/2020,Andhra Pradesh,498125,394019,4417
8/9/2020,Andhra Pradesh,506493,404074,4487
9/9/2020,Andhra Pradesh,517094,415765,4560
10/9/2020,Andhra Pradesh,527512,425607,4634
11/9/2020,Andhra Pradesh,537687,435647,4702
12/9/2020,Andhra Pradesh,547686,446716,4779
13-09-2020,Andhra Pradesh,557587,457008,4846
14-09-2020,Andhra Pradesh,567123,467139,4912
15-09-2020,Andhra Pradesh,575079,476903,4972
16-09-2020,Andhra Pradesh,583925,486531,5041
17-09-2020,Andhra Pradesh,592760,497376,5105
18-09-2020,Andhra Pradesh,601462,508088,5177
19-09-2020,Andhra Pradesh,609558,519891,5244
20-09-2020,Andhra Pradesh,617776,530711,5302
21-09-2020,Andhra Pradesh,625514,541319,5359
22-09-2020,Andhra Pradesh,631749,551821,5410
23-09-2020,Andhra Pradesh,639302,562376,5461
24-09-2020,Andhra Pradesh,646530,570667,5506
25-09-2020,Andhra Pradesh,654385,579474,5558
26-09-2020,Andhra Pradesh,661458,588169,5606
27-09-2020,Andhra Pradesh,668751,597294,5663
28-09-2020,Andhra Pradesh,675674,605090,5708
29-09-2020,Andhra Pradesh,681161,612300,5745
30-09-2020,Andhra Pradesh,687351,622136,5780
1/10/2020,Andhra Pradesh,693484,629211,5828
2/10/2020,Andhra Pradesh,700235,636508,5869
3/10/2020,Andhra Pradesh,706790,643993,5900
4/10/2020,Andhra Pradesh,713014,651791,5941
5/10/2020,Andhra Pradesh,719256,658875,5981
6/10/2020,Andhra Pradesh,723512,666433,6019
7/10/2020,Andhra Pradesh,729307,672479,6052
8/10/2020,Andhra Pradesh,734427,678828,6086
9/10/2020,Andhra Pradesh,739719,684930,6128
10/10/2020,Andhra Pradesh,744864,691040,6159
11/10/2020,Andhra Pradesh,750517,697699,6194
12/10/2020,Andhra Pradesh,755727,703208,6224
13-10-2020,Andhra Pradesh,758951,708712,6256
14-10-2020,Andhra Pradesh,763573,714427,6291
15-10-2020,Andhra Pradesh,767465,719477,6319
16-10-2020,Andhra Pradesh,771503,725099,6357
17-10-2020,Andhra Pradesh,775470,730109,6382
18-10-2020,Andhra Pradesh,779146,735638,6406
19-10-2020,Andhra Pradesh,783132,740229,6429
20-10-2020,Andhra Pradesh,786050,744532,6453
21-10-2020,Andhra Pradesh,789553,749676,6481
22-10-2020,Andhra Pradesh,793299,754415,6508
23-10-2020,Andhra Pradesh,796919,758138,6524
24-10-2020,Andhra Pradesh,800684,762419,6544
25-10-2020,Andhra Pradesh,804026,765991,6566
26-10-2020,Andhra Pradesh,807023,769576,6587
27-10-2020,Andhra Pradesh,808924,773548,6606
28-10-2020,Andhra Pradesh,811825,777900,6625
29-10-2020,Andhra Pradesh,814774,781509,6643
30-10-2020,Andhra Pradesh,817679,784752,6659
31-10-2020,Andhra Pradesh,820565,788375,6676
1/11/2020,Andhra Pradesh,823348,792083,6690
2/11/2020,Andhra Pradesh,825966,795592,6706
3/11/2020,Andhra Pradesh,827882,798625,6719
4/11/2020,Andhra Pradesh,830731,802325,6734
5/11/2020,Andhra Pradesh,833208,805026,6744
6/11/2020,Andhra Pradesh,835953,807318,6757
7/11/2020,Andhra Pradesh,838363,809770,6768
8/11/2020,Andhra Pradesh,840730,812517,6779
9/11/2020,Andhra Pradesh,842967,814773,6791
10/11/2020,Andhra Pradesh,844359,816322,6802
11/11/2020,Andhra Pradesh,846245,818473,6814
12/11/2020,Andhra Pradesh,847977,820234,6828
13-11-2020,Andhra Pradesh,849705,822011,6837
14-11-2020,Andhra Pradesh,851298,824189,6847
15-11-2020,Andhra Pradesh,852955,826344,6854
16-11-2020,Andhra Pradesh,854011,828484,6868
17-11-2020,Andhra Pradesh,854764,829991,6881
18-11-2020,Andhra Pradesh,856159,832284,6890
19-11-2020,Andhra Pradesh,857395,833980,6899
20-11-2020,Andhra Pradesh,858711,835801,6910
21-11-2020,Andhra Pradesh,859932,837630,6920
22-11-2020,Andhra Pradesh,861092,839395,6927
23-11-2020,Andhra Pradesh,862213,841026,6938
24-11-2020,Andhra Pradesh,862758,842416,6948
25-11-2020,Andhra Pradesh,863843,843863,6956
26-11-2020,Andhra Pradesh,864674,845039,6962
27-11-2020,Andhra Pradesh,865705,846120,6970
28-11-2020,Andhra Pradesh,866438,847325,6976
29-11-2020,Andhra Pradesh,867063,848511,6981
30-11-2020,Andhra Pradesh,867683,852298,6988
1/12/2020,Andhra Pradesh,868064,853232,6992
2/12/2020,Andhra Pradesh,868749,854326,6996
3/12/2020,Andhra Pradesh,869412,855485,7003
4/12/2020,Andhra Pradesh,870076,856320,7014
5/12/2020,Andhra Pradesh,870675,857233,7020
6/12/2020,Andhra Pradesh,871305,858115,7024
7/12/2020,Andhra Pradesh,871972,859029,7033
8/12/2020,Andhra Pradesh,872288,859624,7038
9/12/2020,Andhra Pradesh,872839,860368,7042
10/12/2020,Andhra Pradesh,873457,861153,7045
11/12/2020,Andhra Pradesh,873995,861711,7047
12/12/2020,Andhra Pradesh,874515,862230,7049
13-12-2020,Andhra Pradesh,875025,862895,7052
14-12-2020,Andhra Pradesh,875531,863508,7057
15-12-2020,Andhra Pradesh,875836,864049,7059
16-12-2020,Andhra Pradesh,876336,864612,7064
17-12-2020,Andhra Pradesh,876814,865327,7067
18-12-2020,Andhra Pradesh,877348,865825,7069
19-12-2020,Andhra Pradesh,877806,866359,7070
20-12-2020,Andhra Pradesh,878285,866856,7074
21-12-2020,Andhra Pradesh,878723,867445,7076
22-12-2020,Andhra Pradesh,878937,867867,7078
23-12-2020,Andhra Pradesh,879339,868279,7082
24-12-2020,Andhra Pradesh,879718,868769,7085
25-12-2020,Andhra Pradesh,880075,869124,7089
26-12-2020,Andhra Pradesh,880430,869478,7091
27-12-2020,Andhra Pradesh,880712,869920,7092
28-12-2020,Andhra Pradesh,881061,870342,7094
29-12-2020,Andhra Pradesh,881273,870752,7098
30-12-2020,Andhra Pradesh,881599,871116,7100
31-12-2020,Andhra Pradesh,881948,871588,7104
1/1/2021,Andhra Pradesh,882286,871916,7108
2/1/2021,Andhra Pradesh,882612,872266,7108
3/1/2021,Andhra Pradesh,882850,872545,7111
4/1/2021,Andhra Pradesh,883082,872897,7115
5/1/2021,Andhra Pradesh,883210,873149,7118
6/1/2021,Andhra Pradesh,883587,873427,7122
7/1/2021,Andhra Pradesh,883876,873855,7125
8/1/2021,Andhra Pradesh,884171,874223,7126
9/1/2021,Andhra Pradesh,884490,874531,7127
10/1/2021,Andhra Pradesh,884689,874954,7128
11/1/2021,Andhra Pradesh,884916,875243,7129
12/1/2021,Andhra Pradesh,885037,875456,7131
13-01-2021,Andhra Pradesh,885234,875690,7133
14-01-2021,Andhra Pradesh,885437,875921,7134
15-01-2021,Andhra Pradesh,885616,876140,7138
16-01-2021,Andhra Pradesh,885710,876372,7139
17-01-2021,Andhra Pradesh,885824,876698,7139
18-01-2021,Andhra Pradesh,885985,876949,7140
19-01-2021,Andhra Pradesh,886066,877212,7141
20-01-2021,Andhra Pradesh,886245,877443,7142
21-01-2021,Andhra Pradesh,886418,877639,7142
22-01-2021,Andhra Pradesh,886557,877893,7142
23-01-2021,Andhra Pradesh,886694,878060,7146
24-01-2021,Andhra Pradesh,886852,878232,7147
25-01-2021,Andhra Pradesh,887010,878387,7147
26-01-2021,Andhra Pradesh,887066,878528,7149
27-01-2021,Andhra Pradesh,887238,878731,7150
28-01-2021,Andhra Pradesh,887349,878828,7152
29-01-2021,Andhra Pradesh,887466,878956,7152
30-01-2021,Andhra Pradesh,887591,879131,7152
31-01-2021,Andhra Pradesh,887720,879278,7153
1/2/2021,Andhra Pradesh,887836,879405,7153
2/2/2021,Andhra Pradesh,887900,879504,7154
3/2/2021,Andhra Pradesh,888004,879651,7156
4/2/2021,Andhra Pradesh,888099,879780,7157
5/2/2021,Andhra Pradesh,888178,879867,7157
6/2/2021,Andhra Pradesh,888275,880046,7158
7/2/2021,Andhra Pradesh,888350,880179,7159
8/2/2021,Andhra Pradesh,888423,880261,7159
9/2/2021,Andhra Pradesh,888485,880363,7160
10/2/2021,Andhra Pradesh,888555,880478,7160
11/2/2021,Andhra Pradesh,888605,880599,7161
12/2/2021,Andhra Pradesh,888692,880678,7161
13-02-2021,Andhra Pradesh,888760,880784,7162
14-02-2021,Andhra Pradesh,888814,880855,7162
15-02-2021,Andhra Pradesh,888869,880972,7162
16-02-2021,Andhra Pradesh,888899,881041,7163
17-02-2021,Andhra Pradesh,888959,881181,7163
18-02-2021,Andhra Pradesh,889010,881238,7165
19-02-2021,Andhra Pradesh,889077,881292,7166
20-02-2021,Andhra Pradesh,889156,881369,7167
21-02-2021,Andhra Pradesh,889210,881439,7167
22-02-2021,Andhra Pradesh,889298,881511,7167
23-02-2021,Andhra Pradesh,889339,881582,7167
24-02-2021,Andhra Pradesh,889409,881666,7168
25-02-2021,Andhra Pradesh,889503,881732,7168
26-02-2021,Andhra Pradesh,889585,881806,7168
27-02-2021,Andhra Pradesh,889681,881877,7169
28-02-2021,Andhra Pradesh,889799,881963,7169
1/3/2021,Andhra Pradesh,889916,882029,7169
2/3/2021,Andhra Pradesh,889974,882080,7169
3/3/2021,Andhra Pradesh,890080,882137,7169
4/3/2021,Andhra Pradesh,890215,882219,7170
5/3/2021,Andhra Pradesh,890317,882275,7171
6/3/2021,Andhra Pradesh,890441,882369,7172
7/3/2021,Andhra Pradesh,890556,882462,7173
8/3/2021,Andhra Pradesh,890692,882520,7174
9/3/2021,Andhra Pradesh,890766,882581,7176
10/3/2021,Andhra Pradesh,890884,882670,7176
11/3/2021,Andhra Pradesh,890884,882670,7176
12/3/2021,Andhra Pradesh,891004,882763,7177
13-03-2021,Andhra Pradesh,891388,882981,7180
14-03-2021,Andhra Pradesh,891563,883113,7182
15-03-2021,Andhra Pradesh,891861,883277,7184
16-03-2021,Andhra Pradesh,892008,883380,7185
17-03-2021,Andhra Pradesh,892269,883505,7185
18-03-2021,Andhra Pradesh,892522,883642,7186
19-03-2021,Andhra Pradesh,892740,883759,7186
20-03-2021,Andhra Pradesh,892986,883890,7187
21-03-2021,Andhra Pradesh,893366,884094,7189
22-03-2021,Andhra Pradesh,893734,884357,7189
23-03-2021,Andhra Pradesh,894044,884471,7191
24-03-2021,Andhra Pradesh,894536,884727,7193
25-03-2021,Andhra Pradesh,895121,884978,7197
26-03-2021,Andhra Pradesh,895879,885209,7201
27-03-2021,Andhra Pradesh,896863,885515,7203
28-03-2021,Andhra Pradesh,897810,885892,7203
29-03-2021,Andhra Pradesh,898815,886216,7205
30-03-2021,Andhra Pradesh,899812,886498,7210
31-03-2021,Andhra Pradesh,900805,886978,7213
1/4/2021,Andhra Pradesh,901989,887434,7217
2/4/2021,Andhra Pradesh,903260,887898,7220
3/4/2021,Andhra Pradesh,904548,888508,7225
4/4/2021,Andhra Pradesh,905946,889295,7234
5/4/2021,Andhra Pradesh,907676,890137,7239
6/4/2021,Andhra Pradesh,909002,891048,7244
7/4/2021,Andhra Pradesh,910943,891883,7251
8/4/2021,Andhra Pradesh,913274,892736,7262
9/4/2021,Andhra Pradesh,915832,893651,7268
10/4/2021,Andhra Pradesh,918597,894896,7279
11/4/2021,Andhra Pradesh,921906,895949,7291
12/4/2021,Andhra Pradesh,925401,897147,7300
13-04-2021,Andhra Pradesh,928664,898238,7311
14-04-2021,Andhra Pradesh,932892,899721,7321
15-04-2021,Andhra Pradesh,937049,901327,7339
16-04-2021,Andhra Pradesh,942135,903072,7353
17-04-2021,Andhra Pradesh,948231,905266,7373
18-04-2021,Andhra Pradesh,955455,907598,7388
19-04-2021,Andhra Pradesh,962037,909941,7410
20-04-2021,Andhra Pradesh,968000,912510,7437
21-04-2021,Andhra Pradesh,976987,915626,7472
22-04-2021,Andhra Pradesh,986703,918985,7510
23-04-2021,Andhra Pradesh,997462,922977,7541
24-04-2021,Andhra Pradesh,1009228,927418,7579
25-04-2021,Andhra Pradesh,1020926,931839,7616
26-04-2021,Andhra Pradesh,1033560,936143,7685
27-04-2021,Andhra Pradesh,1043441,940574,7736
28-04-2021,Andhra Pradesh,1054875,947629,7800
29-04-2021,Andhra Pradesh,1069544,954062,7871
30-04-2021,Andhra Pradesh,1084336,962250,7928
1/5/2021,Andhra Pradesh,1101690,970718,7992
2/5/2021,Andhra Pradesh,1121102,982297,8053
3/5/2021,Andhra Pradesh,1145022,993708,8136
4/5/2021,Andhra Pradesh,1163994,1003935,8207
5/5/2021,Andhra Pradesh,1184028,1016142,8289
6/5/2021,Andhra Pradesh,1206232,1027270,8374
7/5/2021,Andhra Pradesh,1228186,1037411,8446
8/5/2021,Andhra Pradesh,1245374,1050160,8519
9/5/2021,Andhra Pradesh,1265439,1069432,8615
10/5/2021,Andhra Pradesh,1287603,1088264,8707
11/5/2021,Andhra Pradesh,1302589,1104431,8791
12/5/2021,Andhra Pradesh,1322934,1118933,8899
13-05-2021,Andhra Pradesh,1344386,1138028,8988
14-05-2021,Andhra Pradesh,1366785,1156666,9077
15-05-2021,Andhra Pradesh,1388803,1175843,9173
16-05-2021,Andhra Pradesh,1411320,1194582,9271
17-05-2021,Andhra Pradesh,1435491,1215683,9372
18-05-2021,Andhra Pradesh,1454052,1233017,9481
19-05-2021,Andhra Pradesh,1475372,1254291,9580
20-05-2021,Andhra Pradesh,1498532,1279110,9686
21-05-2021,Andhra Pradesh,1521142,1302208,9800
22-05-2021,Andhra Pradesh,1542079,1323019,9904
23-05-2021,Andhra Pradesh,1562060,1341355,10022
24-05-2021,Andhra Pradesh,1580827,1361464,10126
25-05-2021,Andhra Pradesh,1593821,1379837,10222
26-05-2021,Andhra Pradesh,1609105,1400754,10328
27-05-2021,Andhra Pradesh,1627390,1424859,10427
28-05-2021,Andhra Pradesh,1643557,1446244,10531
29-05-2021,Andhra Pradesh,1657986,1466990,10634
30-05-2021,Andhra Pradesh,1671742,1487382,10738
31-05-2021,Andhra Pradesh,1685142,1508515,10832
1/6/2021,Andhra Pradesh,1693085,1528360,10930
2/6/2021,Andhra Pradesh,1704388,1546617,11034
3/6/2021,Andhra Pradesh,1717156,1562229,11132
4/6/2021,Andhra Pradesh,1728577,1578452,11213
5/6/2021,Andhra Pradesh,1738990,1593921,11296
6/6/2021,Andhra Pradesh,1749363,1609879,11376
7/6/2021,Andhra Pradesh,1758339,1623447,11466
8/6/2021,Andhra Pradesh,1763211,1637149,11552
9/6/2021,Andhra Pradesh,1771007,1651790,11629
10/6/2021,Andhra Pradesh,1779773,1664082,11696
11/6/2021,Andhra Pradesh,1787883,1677063,11763
12/6/2021,Andhra Pradesh,1796122,1688198,11824
13-06-2021,Andhra Pradesh,1803074,1699775,11882
14-06-2021,Andhra Pradesh,1809844,1712267,11940
15-06-2021,Andhra Pradesh,1814393,1722381,11999
16-06-2021,Andhra Pradesh,1820134,1732948,12052
17-06-2021,Andhra Pradesh,1826751,1743176,12109
18-06-2021,Andhra Pradesh,1832902,1750904,12167
19-06-2021,Andhra Pradesh,1839243,1759390,12224
20-06-2021,Andhra Pradesh,1844917,1767404,12269
21-06-2021,Andhra Pradesh,1850563,1775176,12319
22-06-2021,Andhra Pradesh,1853183,1782680,12363
23-06-2021,Andhra Pradesh,1857352,1791056,12416
24-06-2021,Andhra Pradesh,1862036,1798380,12452
25-06-2021,Andhra Pradesh,1867017,1804844,12490
26-06-2021,Andhra Pradesh,1871475,1811157,12528
27-06-2021,Andhra Pradesh,1875622,1816930,12566
28-06-2021,Andhra Pradesh,1879872,1822500,12599
29-06-2021,Andhra Pradesh,1882096,1827214,12630
30-06-2021,Andhra Pradesh,1885716,1832971,12671
1/7/2021,Andhra Pradesh,1889513,1838469,12706
2/7/2021,Andhra Pradesh,1893354,1842432,12744
3/7/2021,Andhra Pradesh,1896818,1846716,12779
4/7/2021,Andhra Pradesh,1899748,1851062,12815
5/7/2021,Andhra Pradesh,1902923,1854754,12844
6/7/2021,Andhra Pradesh,1905023,1858189,12870
7/7/2021,Andhra Pradesh,1908065,1861937,12898
8/7/2021,Andhra Pradesh,1911231,1865956,12919
9/7/2021,Andhra Pradesh,1914213,1869417,12946
10/7/2021,Andhra Pradesh,1917253,1873993,12960
11/7/2021,Andhra Pradesh,1920178,1877930,12986
12/7/2021,Andhra Pradesh,1922843,1881161,13002
13-07-2021,Andhra Pradesh,1924421,1884202,13024
14-07-2021,Andhra Pradesh,1926988,1887236,13042
15-07-2021,Andhra Pradesh,1929579,1890565,13057
16-07-2021,Andhra Pradesh,1932105,1893498,13081
17-07-2021,Andhra Pradesh,1934450,1896499,13097
18-07-2021,Andhra Pradesh,1937122,1898966,13115
19-07-2021,Andhra Pradesh,1940096,1902256,13132
20-07-2021,Andhra Pradesh,1941724,1905000,13154
21-07-2021,Andhra Pradesh,1944222,1907201,13178
22-07-2021,Andhra Pradesh,1946749,1909613,13197
23-07-2021,Andhra Pradesh,1948592,1911812,13209
24-07-2021,Andhra Pradesh,1950339,1914177,13223
25-07-2021,Andhra Pradesh,1952513,1916914,13241
26-07-2021,Andhra Pradesh,1954765,1919354,13256
27-07-2021,Andhra Pradesh,1956392,1921371,13273
28-07-2021,Andhra Pradesh,1957932,1923675,13292
29-07-2021,Andhra Pradesh,1959942,1925631,13312
30-07-2021,Andhra Pradesh,1962049,1927438,13332
31-07-2021,Andhra Pradesh,1964117,1929565,13354
1/8/2021,Andhra Pradesh,1966175,1931618,13377
2/8/2021,Andhra Pradesh,1968462,1934048,13395
3/8/2021,Andhra Pradesh,1970008,1936016,13410
4/8/2021,Andhra Pradesh,1971554,1937956,13428
5/8/2021,Andhra Pradesh,1973996,1940368,13444
6/8/2021,Andhra Pradesh,1976141,1942371,13468
7/8/2021,Andhra Pradesh,1978350,1944267,13490
8/8/2021,Andhra Pradesh,1980258,1946370,13513
9/8/2021,Andhra Pradesh,1982308,1948828,13531
10/8/2021,Andhra Pradesh,1983721,1950623,13549
11/8/2021,Andhra Pradesh,1985182,1952736,13564
12/8/2021,Andhra Pradesh,1987051,1955052,13582
13-08-2021,Andhra Pradesh,1988910,1956627,13595
14-08-2021,Andhra Pradesh,1990656,1958275,13615
15-08-2021,Andhra Pradesh,1992191,1960350,13631
16-08-2021,Andhra Pradesh,1993697,1962185,13647
17-08-2021,Andhra Pradesh,1994606,1963728,13660
18-08-2021,Andhra Pradesh,1995669,1965657,13671
19-08-2021,Andhra Pradesh,1997102,1967472,13686
20-08-2021,Andhra Pradesh,1998603,1969169,13696
21-08-2021,Andhra Pradesh,2000038,1970864,13702
22-08-2021,Andhra Pradesh,2001255,1972399,13715
23-08-2021,Andhra Pradesh,2002340,1973940,13723
24-08-2021,Andhra Pradesh,2003342,1975448,13735
25-08-2021,Andhra Pradesh,2004590,1977163,13750
26-08-2021,Andhra Pradesh,2006191,1978364,13766
27-08-2021,Andhra Pradesh,2007730,1979504,13778
28-08-2021,Andhra Pradesh,2009245,1980407,13788
